Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Acts 10:1	There was a certain man in Caesarea called Cornelius, a centurion of the band called the Italian band,
Job 12:18	He looses the bond of kings, and girds their loins with a girdle.
Revelation 16:21	And there fell on men a great hail out of heaven, every stone about the weight of a talent: and men blasphemed God because of the plague of the hail; for the plague thereof was exceeding great.
Proverbs 11:19	As righteousness tends to life: so he that pursues evil pursues it to his own death.
Ezekiel 22:11	And one has committed abomination with his neighbor’s wife; and another has lewdly defiled his daughter in law; and another in you has humbled his sister, his father’s daughter.
Numbers 29:4	And one tenth deal for one lamb, throughout the seven lambs:
Zechariah 1:8	I saw by night, and behold a man riding on a red horse, and he stood among the myrtle trees that were in the bottom; and behind him were there red horses, speckled, and white.
Luke 13:4	Or those eighteen, on whom the tower in Siloam fell, and slew them, think you that they were sinners above all men that dwelled in Jerusalem?
Romans 11:14	If by any means I may provoke to emulation them which are my flesh, and might save some of them.
Genesis 26:16	And Abimelech said to Isaac, Go from us; for you are much mightier than we.
Ephesians 5:17	Why be you not unwise, but understanding what the will of the Lord is.
Genesis 49:3	Reuben, you are my firstborn, my might, and the beginning of my strength, the excellency of dignity, and the excellency of power:
Genesis 34:8	And Hamor communed with them, saying, The soul of my son Shechem longs for your daughter: I pray you give her him to wife.
Joshua 22:30	And when Phinehas the priest, and the princes of the congregation and heads of the thousands of Israel which were with him, heard the words that the children of Reuben and the children of Gad and the children of Manasseh spoke, it pleased them.
Genesis 40:21	And he restored the chief butler to his butlership again; and he gave the cup into Pharaoh’s hand:
Psalm 37:9	For evildoers shall be cut off: but those that wait on the LORD, they shall inherit the earth.
Leviticus 2:3	And the remnant of the meat offering shall be Aaron’s and his sons’: it is a thing most holy of the offerings of the LORD made by fire.
Luke 3:8	Bring forth therefore fruits worthy of repentance, and begin not to say within yourselves, We have Abraham to our father: for I say to you, That God is able of these stones to raise up children to Abraham.
Leviticus 14:27	And the priest shall sprinkle with his right finger some of the oil that is in his left hand seven times before the LORD:
Psalm 78:42	They remembered not his hand, nor the day when he delivered them from the enemy.
Mark 13:32	But of that day and that hour knows no man, no, not the angels which are in heaven, neither the Son, but the Father.
Obadiah 1:20	And the captivity of this host of the children of Israel shall possess that of the Canaanites, even to Zarephath; and the captivity of Jerusalem, which is in Sepharad, shall possess the cities of the south.
Acts 16:2	Which was well reported of by the brothers that were at Lystra and Iconium.
Nehemiah 13:22	And I commanded the Levites that they should cleanse themselves, and that they should come and keep the gates, to sanctify the sabbath day. Remember me, O my God, concerning this also, and spare me according to the greatness of your mercy.
Hosea 14:9	Who is wise, and he shall understand these things? prudent, and he shall know them? for the ways of the LORD are right, and the just shall walk in them: but the transgressors shall fall therein.
Job 8:17	His roots are wrapped about the heap, and sees the place of stones.
1 Chronicles 29:23	Then Solomon sat on the throne of the LORD as king instead of David his father, and prospered; and all Israel obeyed him.
Psalm 132:6	See, we heard of it at Ephratah: we found it in the fields of the wood.
2 Chronicles 1:3	So Solomon, and all the congregation with him, went to the high place that was at Gibeon; for there was the tabernacle of the congregation of God, which Moses the servant of the LORD had made in the wilderness.
1 Corinthians 9:21	To them that are without law, as without law, (being not without law to God, but under the law to Christ,) that I might gain them that are without law.
Job 25:3	Is there any number of his armies? and on whom does not his light arise?
Matthew 26:53	Think you that I cannot now pray to my Father, and he shall presently give me more than twelve legions of angels?
Genesis 17:14	And the uncircumcised man child whose flesh of his foreskin is not circumcised, that soul shall be cut off from his people; he has broken my covenant.
1 Corinthians 1:6	Even as the testimony of Christ was confirmed in you:
1 Chronicles 15:14	So the priests and the Levites sanctified themselves to bring up the ark of the LORD God of Israel.
Joshua 7:8	O LORD, what shall I say, when Israel turns their backs before their enemies!
Psalm 68:10	Your congregation has dwelled therein: you, O God, have prepared of your goodness for the poor.
Numbers 22:28	And the LORD opened the mouth of the ass, and she said to Balaam, What have I done to you, that you have smitten me these three times?
Acts 26:4	My manner of life from my youth, which was at the first among my own nation at Jerusalem, know all the Jews;
Ezra 2:36	The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
Isaiah 65:15	And you shall leave your name for a curse to my chosen: for the Lord GOD shall slay you, and call his servants by another name:
Luke 19:46	Saying to them, It is written, My house is the house of prayer: but you have made it a den of thieves.
Isaiah 42:15	I will make waste mountains and hills, and dry up all their herbs; and I will make the rivers islands, and I will dry up the pools.
2 Chronicles 11:4	Thus said the LORD, You shall not go up, nor fight against your brothers: return every man to his house: for this thing is done of me. And they obeyed the words of the LORD, and returned from going against Jeroboam.
Ezekiel 16:5	None eye pitied you, to do any of these to you, to have compassion on you; but you were cast out in the open field, to the loathing of your person, in the day that you were born.
Judges 11:3	Then Jephthah fled from his brothers, and dwelled in the land of Tob: and there were gathered vain men to Jephthah, and went out with him.
Ecclesiastes 8:15	Then I commended mirth, because a man has no better thing under the sun, than to eat, and to drink, and to be merry: for that shall abide with him of his labor the days of his life, which God gives him under the sun.
1 Kings 8:4	And they brought up the ark of the LORD, and the tabernacle of the congregation, and all the holy vessels that were in the tabernacle, even those did the priests and the Levites bring up.
Genesis 37:16	And he said, I seek my brothers: tell me, I pray you, where they feed their flocks.
Romans 3:5	But if our unrighteousness commend the righteousness of God, what shall we say? Is God unrighteous who takes vengeance? (I speak as a man)
Ecclesiastes 6:10	That which has been is named already, and it is known that it is man: neither may he contend with him that is mightier than he.
Matthew 20:20	Then came to him the mother of Zebedees children with her sons, worshipping him, and desiring a certain thing of him.
Job 39:13	Gave you the goodly wings to the peacocks? or wings and feathers to the ostrich?
Psalm 31:10	For my life is spent with grief, and my years with sighing: my strength fails because of my iniquity, and my bones are consumed.
Romans 7:25	I thank God through Jesus Christ our Lord. So then with the mind I myself serve the law of God; but with the flesh the law of sin.
1 Chronicles 6:69	And Aijalon with her suburbs, and Gathrimmon with her suburbs:
Psalm 45:15	With gladness and rejoicing shall they be brought: they shall enter into the king’s palace.
Isaiah 32:18	And my people shall dwell in a peaceable habitation, and in sure dwellings, and in quiet resting places;
1 Corinthians 10:6	Now these things were our examples, to the intent we should not lust after evil things, as they also lusted.
2 Corinthians 11:11	Why? because I love you not? God knows.
Mark 12:21	And the second took her, and died, neither left he any seed: and the third likewise.
2 Samuel 18:14	Then said Joab, I may not tarry thus with you. And he took three darts in his hand, and thrust them through the heart of Absalom, while he was yet alive in the middle of the oak.
1 Kings 21:12	They proclaimed a fast, and set Naboth on high among the people.
Judges 20:25	And Benjamin went forth against them out of Gibeah the second day, and destroyed down to the ground of the children of Israel again eighteen thousand men; all these drew the sword.
Zechariah 14:19	This shall be the punishment of Egypt, and the punishment of all nations that come not up to keep the feast of tabernacles.
Hebrews 5:5	So also Christ glorified not himself to be made an high priest; but he that said to him, You are my Son, to day have I begotten you.
Job 38:41	Who provides for the raven his food? when his young ones cry to God, they wander for lack of meat.
Genesis 1:11	And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, on the earth: and it was so.
2 Chronicles 9:2	And Solomon told her all her questions: and there was nothing hid from Solomon which he told her not.
Genesis 17:8	And I will give to you, and to your seed after you, the land wherein you are a stranger, all the land of Canaan, for an everlasting possession; and I will be their God.
2 Samuel 11:4	And David sent messengers, and took her; and she came in to him, and he lay with her; for she was purified from her uncleanness: and she returned to her house.
1 Kings 10:21	And all king Solomon’s drinking vessels were of gold, and all the vessels of the house of the forest of Lebanon were of pure gold; none were of silver: it was nothing accounted of in the days of Solomon.
Genesis 37:4	And when his brothers saw that their father loved him more than all his brothers, they hated him, and could not speak peaceably to him.
1 Kings 22:10	And the king of Israel and Jehoshaphat the king of Judah sat each on his throne, having put on their robes, in a void place in the entrance of the gate of Samaria; and all the prophets prophesied before them.
2 Kings 9:32	And he lifted up his face to the window, and said, Who is on my side? who? And there looked out to him two or three eunuchs.
Matthew 26:69	Now Peter sat without in the palace: and a damsel came to him, saying, You also were with Jesus of Galilee.
Nehemiah 11:17	And Mattaniah the son of Micha, the son of Zabdi, the son of Asaph, was the principal to begin the thanksgiving in prayer: and Bakbukiah the second among his brothers, and Abda the son of Shammua, the son of Galal, the son of Jeduthun.
Ezekiel 40:3	And he brought me thither, and, behold, there was a man, whose appearance was like the appearance of brass, with a line of flax in his hand, and a measuring reed; and he stood in the gate.
Ezra 2:45	The children of Lebanah, the children of Hagabah, the children of Akkub,
Job 36:20	Desire not the night, when people are cut off in their place.
Acts 16:17	The same followed Paul and us, and cried, saying, These men are the servants of the most high God, which show to us the way of salvation.
Hebrews 12:4	You have not yet resisted to blood, striving against sin.
Exodus 31:5	And in cutting of stones, to set them, and in carving of timber, to work in all manner of workmanship.
1 Chronicles 7:33	And the sons of Japhlet; Pasach, and Bimhal, and Ashvath. These are the children of Japhlet.
Numbers 10:24	And over the host of the tribe of the children of Benjamin was Abidan the son of Gideoni.
Genesis 43:18	And the men were afraid, because they were brought into Joseph’s house; and they said, Because of the money that was returned in our sacks at the first time are we brought in; that he may seek occasion against us, and fall on us, and take us for slaves, and our asses.
Proverbs 28:18	Whoever walks uprightly shall be saved: but he that is perverse in his ways shall fall at once.
Genesis 37:6	And he said to them, Hear, I pray you, this dream which I have dreamed:
Acts 7:17	But when the time of the promise drew near, which God had sworn to Abraham, the people grew and multiplied in Egypt,
Proverbs 27:11	My son, be wise, and make my heart glad, that I may answer him that reproaches me.
Ezekiel 39:15	And the passengers that pass through the land, when any sees a man’s bone, then shall he set up a sign by it, till the buriers have buried it in the valley of Hamongog.
Mark 14:25	Truly I say to you, I will drink no more of the fruit of the vine, until that day that I drink it new in the kingdom of God.
Leviticus 8:11	And he sprinkled thereof on the altar seven times, and anointed the altar and all his vessels, both the laver and his foot, to sanctify them.
Ezekiel 7:4	And my eye shall not spare you, neither will I have pity: but I will recompense your ways on you, and your abominations shall be in the middle of you: and you shall know that I am the LORD.
Deuteronomy 28:23	And your heaven that is over your head shall be brass, and the earth that is under you shall be iron.
1 Samuel 10:1	Then Samuel took a vial of oil, and poured it on his head, and kissed him, and said, Is it not because the LORD has anointed you to be captain over his inheritance?
Nehemiah 7:72	And that which the rest of the people gave was twenty thousand drams of gold, and two thousand pound of silver, and three score and seven priests’ garments.
Numbers 21:17	Then Israel sang this song, Spring up, O well; sing you to it:
Lamentations 3:1	I AM the man that has seen affliction by the rod of his wrath.
Isaiah 27:7	Has he smitten him, as he smote those that smote him? or is he slain according to the slaughter of them that are slain by him?
Deuteronomy 2:23	And the Avims which dwelled in Hazerim, even to Azzah, the Caphtorims, which came forth out of Caphtor, destroyed them, and dwelled in their stead.)
Deuteronomy 14:26	And you shall bestow that money for whatever your soul lusts after, for oxen, or for sheep, or for wine, or for strong drink, or for whatever your soul desires: and you shall eat there before the LORD your God, and you shall rejoice, you, and your household,
Numbers 15:32	And while the children of Israel were in the wilderness, they found a man that gathered sticks on the sabbath day.
Psalm 76:4	You are more glorious and excellent than the mountains of prey.
2 Chronicles 1:8	And Solomon said to God, You have showed great mercy to David my father, and have made me to reign in his stead.
1 Samuel 20:39	But the lad knew not any thing: only Jonathan and David knew the matter.
Ezekiel 19:5	Now when she saw that she had waited, and her hope was lost, then she took another of her whelps, and made him a young lion.
Genesis 31:8	If he said thus, The speckled shall be your wages; then all the cattle bore speckled: and if he said thus, The ringstraked shall be your hire; then bore all the cattle ringstraked.
Psalm 78:16	He brought streams also out of the rock, and caused waters to run down like rivers.
2 Corinthians 2:10	To whom you forgive any thing, I forgive also: for if I forgave any thing, to whom I forgave it, for your sakes forgave I it in the person of Christ;
Romans 7:24	O wretched man that I am! who shall deliver me from the body of this death?
Esther 8:12	On one day in all the provinces of king Ahasuerus, namely, on the thirteenth day of the twelfth month, which is the month Adar.
Joel 3:8	And I will sell your sons and your daughters into the hand of the children of Judah, and they shall sell them to the Sabeans, to a people far off: for the LORD has spoken it.
Job 6:9	Even that it would please God to destroy me; that he would let loose his hand, and cut me off!
1 Kings 22:21	And there came forth a spirit, and stood before the LORD, and said, I will persuade him.
2 Chronicles 28:12	Then certain of the heads of the children of Ephraim, Azariah the son of Johanan, Berechiah the son of Meshillemoth, and Jehizkiah the son of Shallum, and Amasa the son of Hadlai, stood up against them that came from the war,
Jeremiah 16:7	Neither shall men tear themselves for them in mourning, to comfort them for the dead; neither shall men give them the cup of consolation to drink for their father or for their mother.
Proverbs 22:19	That your trust may be in the LORD, I have made known to you this day, even to you.
Genesis 2:3	And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.
Matthew 10:28	And fear not them which kill the body, but are not able to kill the soul: but rather fear him which is able to destroy both soul and body in hell.
2 Samuel 5:13	And David took him more concubines and wives out of Jerusalem, after he was come from Hebron: and there were yet sons and daughters born to David.
John 7:26	But, see, he speaks boldly, and they say nothing to him. Do the rulers know indeed that this is the very Christ?
Numbers 28:24	After this manner you shall offer daily, throughout the seven days, the meat of the sacrifice made by fire, of a sweet smell to the LORD: it shall be offered beside the continual burnt offering, and his drink offering.
Psalm 89:40	You have broken down all his hedges; you have brought his strong holds to ruin.
Exodus 14:18	And the Egyptians shall know that I am the LORD, when I have gotten me honor on Pharaoh, on his chariots, and on his horsemen.
Luke 13:17	And when he had said these things, all his adversaries were ashamed: and all the people rejoiced for all the glorious things that were done by him.
Genesis 17:5	Neither shall your name any more be called Abram, but your name shall be Abraham; for a father of many nations have I made you.
Numbers 35:7	So all the cities which you shall give to the Levites shall be forty and eight cities: them shall you give with their suburbs.
Ezekiel 45:12	And the shekel shall be twenty gerahs: twenty shekels, five and twenty shekels, fifteen shekels, shall be your maneh.
Psalm 50:3	Our God shall come, and shall not keep silence: a fire shall devour before him, and it shall be very tempestuous round about him.
Isaiah 66:22	For as the new heavens and the new earth, which I will make, shall remain before me, said the LORD, so shall your seed and your name remain.
Exodus 39:10	And they set in it four rows of stones: the first row was a sardius, a topaz, and a carbuncle: this was the first row.
Deuteronomy 25:6	And it shall be, that the firstborn which she bears shall succeed in the name of his brother which is dead, that his name be not put out of Israel.
Genesis 32:14	Two hundred she goats, and twenty he goats, two hundred ewes, and twenty rams,
Colossians 1:12	Giving thanks to the Father, which has made us meet to be partakers of the inheritance of the saints in light:
Numbers 26:41	These are the sons of Benjamin after their families: and they that were numbered of them were forty and five thousand and six hundred.
Proverbs 19:1	Better is the poor that walks in his integrity, than he that is perverse in his lips, and is a fool.
2 Chronicles 11:3	Speak to Rehoboam the son of Solomon, king of Judah, and to all Israel in Judah and Benjamin, saying,
Ezekiel 48:2	And by the border of Dan, from the east side to the west side, a portion for Asher.
2 Samuel 7:27	For you, O LORD of hosts, God of Israel, have revealed to your servant, saying, I will build you an house: therefore has your servant found in his heart to pray this prayer to you.
1 Samuel 14:24	And the men of Israel were distressed that day: for Saul had adjured the people, saying, Cursed be the man that eats any food until evening, that I may be avenged on my enemies. So none of the people tasted any food.
Jeremiah 4:14	O Jerusalem, wash your heart from wickedness, that you may be saved. How long shall your vain thoughts lodge within you?
Psalm 38:3	There is no soundness in my flesh because of your anger; neither is there any rest in my bones because of my sin.
Numbers 9:15	And on the day that the tabernacle was reared up the cloud covered the tabernacle, namely, the tent of the testimony: and at even there was on the tabernacle as it were the appearance of fire, until the morning.
2 Kings 9:11	Then Jehu came forth to the servants of his lord: and one said to him, Is all well? why came this mad fellow to you? And he said to them, You know the man, and his communication.
Deuteronomy 8:2	And you shall remember all the way which the LORD your God led you these forty years in the wilderness, to humble you, and to prove you, to know what was in your heart, whether you would keep his commandments, or no.
Joshua 24:18	And the LORD drove out from before us all the people, even the Amorites which dwelled in the land: therefore will we also serve the LORD; for he is our God.
Daniel 5:6	Then the king’s countenance was changed, and his thoughts troubled him, so that the joints of his loins were loosed, and his knees smote one against another.
1 Kings 15:33	In the third year of Asa king of Judah began Baasha the son of Ahijah to reign over all Israel in Tirzah, twenty and four years.
Jeremiah 21:13	Behold, I am against you, O inhabitant of the valley, and rock of the plain, said the LORD; which say, Who shall come down against us? or who shall enter into our habitations?
Job 31:37	I would declare to him the number of my steps; as a prince would I go near to him.
Jonah 1:6	So the shipmaster came to him, and said to him, What mean you, O sleeper? arise, call on your God, if so be that God will think on us, that we perish not.
Isaiah 22:17	Behold, the LORD will carry you away with a mighty captivity, and will surely cover you.
Lamentations 2:18	Their heart cried to the LORD, O wall of the daughter of Zion, let tears run down like a river day and night: give yourself no rest; let not the apple of your eye cease.
Numbers 26:27	These are the families of the Zebulunites according to those that were numbered of them, three score thousand and five hundred.
Exodus 22:18	You shall not suffer a witch to live.
Numbers 25:3	And Israel joined himself to Baalpeor: and the anger of the LORD was kindled against Israel.
Ezekiel 21:20	Appoint a way, that the sword may come to Rabbath of the Ammonites, and to Judah in Jerusalem the defended.
Joshua 18:6	You shall therefore describe the land into seven parts, and bring the description here to me, that I may cast lots for you here before the LORD our God.
Luke 17:28	Likewise also as it was in the days of Lot; they did eat, they drank, they bought, they sold, they planted, they built;
Psalm 119:133	Order my steps in your word: and let not any iniquity have dominion over me.
Acts 21:14	And when he would not be persuaded, we ceased, saying, The will of the Lord be done.
Revelation 2:24	But to you I say, and to the rest in Thyatira, as many as have not this doctrine, and which have not known the depths of Satan, as they speak; I will put on you none other burden.
Luke 23:34	Then said Jesus, Father, forgive them; for they know not what they do. And they parted his raiment, and cast lots.
Ezekiel 22:12	In you have they taken gifts to shed blood; you have taken usury and increase, and you have greedily gained of your neighbors by extortion, and have forgotten me, said the Lord GOD.
1 Corinthians 15:26	The last enemy that shall be destroyed is death.
Isaiah 47:12	Stand now with your enchantments, and with the multitude of your sorceries, wherein you have labored from your youth; if so be you shall be able to profit, if so be you may prevail.
John 7:42	Has not the scripture said, That Christ comes of the seed of David, and out of the town of Bethlehem, where David was?
Romans 16:20	And the God of peace shall bruise Satan under your feet shortly. The grace of our Lord Jesus Christ be with you. Amen.
John 13:37	Peter said to him, Lord, why cannot I follow you now? I will lay down my life for your sake.
Ezekiel 5:9	And I will do in you that which I have not done, and whereunto I will not do any more the like, because of all your abominations.
Matthew 24:47	Truly I say to you, That he shall make him ruler over all his goods.
Luke 16:13	No servant can serve two masters: for either he will hate the one, and love the other; or else he will hold to the one, and despise the other. You cannot serve God and mammon.
Job 41:23	The flakes of his flesh are joined together: they are firm in themselves; they cannot be moved.
Matthew 27:21	The governor answered and said to them, Whether of the two will you that I release to you? They said, Barabbas.
Deuteronomy 27:12	These shall stand on mount Gerizim to bless the people, when you are come over Jordan; Simeon, and Levi, and Judah, and Issachar, and Joseph, and Benjamin:
Exodus 15:1	Then sang Moses and the children of Israel this song to the LORD, and spoke, saying, I will sing to the LORD, for he has triumphed gloriously: the horse and his rider has he thrown into the sea.
2 Chronicles 8:12	Then Solomon offered burnt offerings to the LORD on the altar of the LORD, which he had built before the porch,
1 Chronicles 7:20	And the sons of Ephraim; Shuthelah, and Bered his son, and Tahath his son, and Eladah his son, and Tahath his son,
Deuteronomy 31:10	And Moses commanded them, saying, At the end of every seven years, in the solemnity of the year of release, in the feast of tabernacles,
Isaiah 31:3	Now the Egyptians are men, and not God; and their horses flesh, and not spirit. When the LORD shall stretch out his hand, both he that helps shall fall, and he that is helped shall fall down, and they all shall fail together.
1 Samuel 21:2	And David said to Ahimelech the priest, The king has commanded me a business, and has said to me, Let no man know any thing of the business about which I send you, and what I have commanded you: and I have appointed my servants to such and such a place.
Leviticus 8:9	And he put the turban on his head; also on the turban, even on his forefront, did he put the golden plate, the holy crown; as the LORD commanded Moses.
Luke 7:7	Why neither thought I myself worthy to come to you: but say in a word, and my servant shall be healed.
Numbers 4:31	And this is the charge of their burden, according to all their service in the tabernacle of the congregation; the boards of the tabernacle, and the bars thereof, and the pillars thereof, and sockets thereof,
Jeremiah 33:3	Call to me, and I will answer you, and show you great and mighty things, which you know not.
Numbers 6:25	The LORD make his face shine on you, and be gracious to you:
Genesis 32:8	And said, If Esau come to the one company, and smite it, then the other company which is left shall escape.
Deuteronomy 17:14	When you are come to the land which the LORD your God gives you, and shall possess it, and shall dwell therein, and shall say, I will set a king over me, like as all the nations that are about me;
Judges 20:34	And there came against Gibeah ten thousand chosen men out of all Israel, and the battle was sore: but they knew not that evil was near them.
Mark 5:5	And always, night and day, he was in the mountains, and in the tombs, crying, and cutting himself with stones.
2 Chronicles 3:6	And he garnished the house with precious stones for beauty: and the gold was gold of Parvaim.
Deuteronomy 6:14	You shall not go after other gods, of the gods of the people which are round about you;
Acts 16:39	And they came and sought them, and brought them out, and desired them to depart out of the city.
2 Corinthians 1:6	And whether we be afflicted, it is for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, it is for your consolation and salvation.
Numbers 4:36	And those that were numbered of them by their families were two thousand seven hundred and fifty.
Hosea 11:2	As they called them, so they went from them: they sacrificed to Baalim, and burned incense to graven images.
Matthew 22:20	And he said to them, Whose is this image and superscription?
1 Chronicles 12:16	And there came of the children of Benjamin and Judah to the hold to David.
2 Chronicles 25:27	Now after the time that Amaziah did turn away from following the LORD they made a conspiracy against him in Jerusalem; and he fled to Lachish: but they sent to Lachish after him, and slew him there.
Ezekiel 46:22	In the four corners of the court there were courts joined of forty cubits long and thirty broad: these four corners were of one measure.
Psalm 119:129	Your testimonies are wonderful: therefore does my soul keep them.
Ecclesiastes 7:27	Behold, this have I found, said the preacher, counting one by one, to find out the account:
Acts 12:5	Peter therefore was kept in prison: but prayer was made without ceasing of the church to God for him.
Luke 14:15	And when one of them that sat at meat with him heard these things, he said to him, Blessed is he that shall eat bread in the kingdom of God.
Isaiah 5:19	That say, Let him make speed, and hasten his work, that we may see it: and let the counsel of the Holy One of Israel draw near and come, that we may know it!
Psalm 105:29	He turned their waters into blood, and slew their fish.
Nehemiah 7:15	The children of Binnui, six hundred forty and eight.
2 Samuel 17:20	And when Absalom’s servants came to the woman to the house, they said, Where is Ahimaaz and Jonathan? And the woman said to them, They be gone over the brook of water. And when they had sought and could not find them, they returned to Jerusalem.
Psalm 37:18	The LORD knows the days of the upright: and their inheritance shall be for ever.
Genesis 30:37	And Jacob took him rods of green poplar, and of the hazel and chesnut tree; and pilled white strakes in them, and made the white appear which was in the rods.
1 Corinthians 10:33	Even as I please all men in all things, not seeking my own profit, but the profit of many, that they may be saved.
Genesis 30:20	And Leah said, God has endued me with a good dowry; now will my husband dwell with me, because I have born him six sons: and she called his name Zebulun.
Mark 14:14	And wherever he shall go in, say you to the manager of the house, The Master said, Where is the guest room, where I shall eat the passover with my disciples?
Acts 1:17	For he was numbered with us, and had obtained part of this ministry.
Jeremiah 22:13	Woe to him that builds his house by unrighteousness, and his chambers by wrong; that uses his neighbor’s service without wages, and gives him not for his work;
Jeremiah 49:10	But I have made Esau bore, I have uncovered his secret places, and he shall not be able to hide himself: his seed is spoiled, and his brothers, and his neighbors, and he is not.
Ecclesiastes 3:7	A time to rend, and a time to sew; a time to keep silence, and a time to speak;
Lamentations 3:33	For he does not afflict willingly nor grieve the children of men.
Exodus 2:16	Now the priest of Midian had seven daughters: and they came and drew water, and filled the troughs to water their father’s flock.
Matthew 16:21	From that time forth began Jesus to show to his disciples, how that he must go to Jerusalem, and suffer many things of the elders and chief priests and scribes, and be killed, and be raised again the third day.
Titus 3:11	Knowing that he that is such is subverted, and sins, being condemned of himself.
Job 1:10	Have not you made an hedge about him, and about his house, and about all that he has on every side? you have blessed the work of his hands, and his substance is increased in the land.
Romans 2:20	An instructor of the foolish, a teacher of babes, which have the form of knowledge and of the truth in the law.
Matthew 7:8	For every one that asks receives; and he that seeks finds; and to him that knocks it shall be opened.
Deuteronomy 5:26	For who is there of all flesh, that has heard the voice of the living God speaking out of the middle of the fire, as we have, and lived?
Matthew 1:11	And Josias begat Jechonias and his brothers, about the time they were carried away to Babylon:
Luke 8:9	And his disciples asked him, saying, What might this parable be?
2 Kings 15:19	And Pul the king of Assyria came against the land: and Menahem gave Pul a thousand talents of silver, that his hand might be with him to confirm the kingdom in his hand.
2 Kings 9:36	Why they came again, and told him. And he said, This is the word of the LORD, which he spoke by his servant Elijah the Tishbite, saying, In the portion of Jezreel shall dogs eat the flesh of Jezebel:
Daniel 1:14	So he consented to them in this matter, and proved them ten days.
Psalm 36:10	O continue your loving kindness to them that know you; and your righteousness to the upright in heart.
Exodus 27:19	All the vessels of the tabernacle in all the service thereof, and all the pins thereof, and all the pins of the court, shall be of brass.
John 17:21	That they all may be one; as you, Father, are in me, and I in you, that they also may be one in us: that the world may believe that you have sent me.
Psalm 44:2	How you did drive out the heathen with your hand, and planted them; how you did afflict the people, and cast them out.
Joshua 14:9	And Moses swore on that day, saying, Surely the land where on your feet have trodden shall be your inheritance, and your children’s for ever, because you have wholly followed the LORD my God.
Deuteronomy 28:58	If you will not observe to do all the words of this law that are written in this book, that you may fear this glorious and fearful name, THE LORD THY GOD;
Leviticus 16:2	And the LORD said to Moses, Speak to Aaron your brother, that he come not at all times into the holy place within the veil before the mercy seat, which is on the ark; that he die not: for I will appear in the cloud on the mercy seat.
Psalm 53:5	There were they in great fear, where no fear was: for God has scattered the bones of him that encamps against you: you have put them to shame, because God has despised them.
2 Samuel 4:5	And the sons of Rimmon the Beerothite, Rechab and Baanah, went, and came about the heat of the day to the house of Ishbosheth, who lay on a bed at noon.
Psalm 111:2	The works of the LORD are great, sought out of all them that have pleasure therein.
Daniel 4:37	Now I Nebuchadnezzar praise and extol and honor the King of heaven, all whose works are truth, and his ways judgment: and those that walk in pride he is able to abase.
Esther 1:8	And the drinking was according to the law; none did compel: for so the king had appointed to all the officers of his house, that they should do according to every man’s pleasure.
Revelation 2:10	Fear none of those things which you shall suffer: behold, the devil shall cast some of you into prison, that you may be tried; and you shall have tribulation ten days: be you faithful to death, and I will give you a crown of life.
Acts 13:13	Now when Paul and his company loosed from Paphos, they came to Perga in Pamphylia: and John departing from them returned to Jerusalem.
Ecclesiastes 7:13	Consider the work of God: for who can make that straight, which he has made crooked?
Proverbs 22:8	He that sows iniquity shall reap vanity: and the rod of his anger shall fail.
Matthew 27:55	And many women were there beholding afar off, which followed Jesus from Galilee, ministering to him:
Luke 1:70	As he spoke by the mouth of his holy prophets, which have been since the world began:
Judges 18:21	So they turned and departed, and put the little ones and the cattle and the carriage before them.
1 Kings 21:11	And the men of his city, even the elders and the nobles who were the inhabitants in his city, did as Jezebel had sent to them, and as it was written in the letters which she had sent to them.
Acts 4:6	And Annas the high priest, and Caiaphas, and John, and Alexander, and as many as were of the kindred of the high priest, were gathered together at Jerusalem.
Song of Solomon 2:7	I charge you, O you daughters of Jerusalem, by the roes, and by the hinds of the field, that you stir not up, nor awake my love, till he please.
Joshua 19:2	And they had in their inheritance Beersheba, and Sheba, and Moladah,
2 Corinthians 12:20	For I fear, lest, when I come, I shall not find you such as I would, and that I shall be found to you such as you would not: lest there be debates, contentions, wraths, strifes, backbitings, whisperings, arrogance, tumults:
1 Chronicles 24:17	The one and twentieth to Jachin, the two and twentieth to Gamul,
3 John 1:1	The elder to the well beloved Gaius, whom I love in the truth.
Acts 2:28	You have made known to me the ways of life; you shall make me full of joy with your countenance.
Mark 14:9	Truly I say to you, Wherever this gospel shall be preached throughout the whole world, this also that she has done shall be spoken of for a memorial of her.
Amos 2:1	Thus said the LORD; For three transgressions of Moab, and for four, I will not turn away the punishment thereof; because he burned the bones of the king of Edom into lime:
Isaiah 1:5	Why should you be stricken any more? you will revolt more and more: the whole head is sick, and the whole heart faint.
Leviticus 9:10	But the fat, and the kidneys, and the lobe above the liver of the sin offering, he burnt on the altar; as the LORD commanded Moses.
Jeremiah 20:8	For since I spoke, I cried out, I cried violence and spoil; because the word of the LORD was made a reproach to me, and a derision, daily.
Psalm 35:2	Take hold of shield and buckler, and stand up for my help.
Romans 12:2	And be not conformed to this world: but be you transformed by the renewing of your mind, that you may prove what is that good, and acceptable, and perfect, will of God.
